id,sentenca,secao,entidade_texto,entidade_label,entidade_start,entidade_end,entidade_score
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,03,TEMPO,52.0,54.0,0.9998
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,/,TEMPO,54.0,55.0,0.9997
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,21,TEMPO,55.0,57.0,0.9997
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,26,TEMPO,60.0,62.0,0.9987
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,/,TEMPO,62.0,63.0,0.9987
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,04,TEMPO,63.0,65.0,0.9984
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,/,TEMPO,65.0,66.0,0.9988
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,202,TEMPO,66.0,69.0,0.9987
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,##1,TEMPO,69.0,70.0,0.9989
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,Ministério do Trabalho e Emprego,ORGANIZACAO,124.0,156.0,0.9982
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,Batalhão,LOCAL,182.0,190.0,0.5222
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,de,ORGANIZACAO,191.0,193.0,0.4763
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,Ara,LOCAL,194.0,197.0,0.4779
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,##xá /,LOCAL,197.0,200.0,0.5128
15,"[...] No período compreendido entre o período de 02/03/21 e 26/04/2021, foi -realizada ação fiscal integrada pela Equipe do Ministério do Trabalho e Emprego e Policiais Militares do Batalhão de Araxá/MG, com o fim de apurar veracidade da “denúncia” do cometimento de graves irregularidades trabalhistas.",RELATORIO,MG,ORGANIZACAO,200.0,202.0,0.3469
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,Fazenda Tamboril,LOCAL,2.0,18.0,0.8901
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,Eug,PESSOA,38.0,41.0,0.9997
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##ênio Ferreira de Aguiar,PESSOA,41.0,64.0,0.9991
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,E,PESSOA,93.0,94.0,0.9994
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##D,PESSOA,94.0,95.0,0.9994
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##VA,PESSOA,95.0,97.0,0.9995
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##L,PESSOA,97.0,98.0,0.9994
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##DO AVELINO,PESSOA,98.0,108.0,0.9995
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,Ta,LOCAL,208.0,210.0,0.9996
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,##pira,LOCAL,210.0,214.0,0.9995
16,"A Fazenda Tamboril, de propriedade de Eugênio Ferreira de Aguiar, estava sendo explorada por EDVALDO AVELINO na atividade econômica a produção de carvão vegetal de eucalipto plantado, situada no município de Tapira/MG.",DOS_FATOS,MG,LOCAL,215.0,217.0,0.9921
17,I.1 - DO DELITO TIPIFICADO NO ARTIGO 149 DO CÓDIGO PENAL,RELATORIO,AR,LEGISLACAO,30.0,32.0,0.9995
17,I.1 - DO DELITO TIPIFICADO NO ARTIGO 149 DO CÓDIGO PENAL,RELATORIO,##TI,LEGISLACAO,32.0,34.0,0.9996
17,I.1 - DO DELITO TIPIFICADO NO ARTIGO 149 DO CÓDIGO PENAL,RELATORIO,##GO 149 DO CÓDIGO PENAL,LEGISLACAO,34.0,56.0,0.9994
18,"No período acima referido, EDVALDO AVELINO, livre e conscientemente, reduziu 08 (oito) trabalhadores a condições análogas às de escravo, sujeitando-os a condições degradantes de trabalho, no interior do imóvel rural de sua propriedade.",DOS_FATOS,E,PESSOA,27.0,28.0,0.9996
18,"No período acima referido, EDVALDO AVELINO, livre e conscientemente, reduziu 08 (oito) trabalhadores a condições análogas às de escravo, sujeitando-os a condições degradantes de trabalho, no interior do imóvel rural de sua propriedade.",DOS_FATOS,##D,PESSOA,28.0,29.0,0.9996
18,"No período acima referido, EDVALDO AVELINO, livre e conscientemente, reduziu 08 (oito) trabalhadores a condições análogas às de escravo, sujeitando-os a condições degradantes de trabalho, no interior do imóvel rural de sua propriedade.",DOS_FATOS,##VA,PESSOA,29.0,31.0,0.9996
18,"No período acima referido, EDVALDO AVELINO, livre e conscientemente, reduziu 08 (oito) trabalhadores a condições análogas às de escravo, sujeitando-os a condições degradantes de trabalho, no interior do imóvel rural de sua propriedade.",DOS_FATOS,##L,PESSOA,31.0,32.0,0.9996
18,"No período acima referido, EDVALDO AVELINO, livre e conscientemente, reduziu 08 (oito) trabalhadores a condições análogas às de escravo, sujeitando-os a condições degradantes de trabalho, no interior do imóvel rural de sua propriedade.",DOS_FATOS,##DO AVELINO,PESSOA,32.0,42.0,0.9997
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Ale,PESSOA,58.0,61.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##ats,PESSOA,61.0,64.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##on Silva Alves,PESSOA,64.0,78.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Ir,PESSOA,80.0,82.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##ma,PESSOA,82.0,84.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##k Ribeiro da Silva,PESSOA,84.0,102.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Alessandro Caldeira Soares,PESSOA,104.0,130.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Van,PESSOA,132.0,135.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##ils,PESSOA,135.0,138.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##a Aparecida Silva Pessoa,PESSOA,138.0,162.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,John Marcos Silva Pessoa,PESSOA,164.0,188.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Antônio Marcos Cardoso,PESSOA,190.0,212.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Fernando Rodrigo Gonçalves de Jesus,PESSOA,214.0,249.0,0.9999
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,Io,PESSOA,252.0,254.0,0.9998
19,"Segundo consta, os denunciados submetiam os trabalhadores Aleatson Silva Alves, Irmak Ribeiro da Silva, Alessandro Caldeira Soares, Vanilsa Aparecida Silva Pessoa, John Marcos Silva Pessoa, Antônio Marcos Cardoso, Fernando Rodrigo Gonçalves de Jesus e Iomar Nascimento dos Santos, a condições degradantes de trabalho.",DOS_FATOS,##mar Nascimento dos Santos,PESSOA,254.0,279.0,0.9997
20,"Restou apurado que foram identificadas diversas irregularidades nos locais de alojamento, preparo das refeições, instalações sanitárias e condições de higiene pessoal, que caracterizam situação grave e iminente risco à saúde e à integridade física dos trabalhadores.",DOS_FATOS,,,,,
21,"Destacou a fiscalização que (a) o alojamento trata-se de uma construção rústica, de tijolo de barro não rebocado, com aproximadamente 50 m2 com piso de cimento simples e construído predominantemente por placas de concreto do tipo muro, com telhado do tipo Eternit; (b) não havia laje ou forro, e os vãos existentes entre as estruturas verticais e horizontais não vedavam adequadamente o interior do alojamento, o que contribuía para a entrada de todo tipo de sujidades, folhas, insetos e animais, dificultando ainda mais a conservação das condições de asseio e higiene; (c) a ausência uma edificação adequada, tanto com relação às paredes quanto aos telhados, fazia com que a poeira, água da chuva, sereno e os ventos, que facilmente carregam partículas sólidas em área de carvoejamento ou em decorrência da movimentação de veículos ao lado dos alojamentos contribuíam para a falta de condições adequadas de conservação, asseio e higiene; (d) os colchões estavam em mau estado de conservação, assim como a fiação elétrica improvisada e aparente, exponha os trabalhadores a riscos de choques elétricos; (e) não havia local para guarda de objetos pessoais, que ficavam dispostos sobre as camas ou dependurados nas paredes; (f) os mantimentos dos trabalhadores eram acondicionados no quarto; (g) havia somente um banheiro em construção, compartilhado entre os sete trabalhadores do sexo masculino e a trabalhadora Vanilsa Aparecida Silva Pessoa.",DOS_FATOS,Van,PESSOA,1411.0,1414.0,0.9989
21,"Destacou a fiscalização que (a) o alojamento trata-se de uma construção rústica, de tijolo de barro não rebocado, com aproximadamente 50 m2 com piso de cimento simples e construído predominantemente por placas de concreto do tipo muro, com telhado do tipo Eternit; (b) não havia laje ou forro, e os vãos existentes entre as estruturas verticais e horizontais não vedavam adequadamente o interior do alojamento, o que contribuía para a entrada de todo tipo de sujidades, folhas, insetos e animais, dificultando ainda mais a conservação das condições de asseio e higiene; (c) a ausência uma edificação adequada, tanto com relação às paredes quanto aos telhados, fazia com que a poeira, água da chuva, sereno e os ventos, que facilmente carregam partículas sólidas em área de carvoejamento ou em decorrência da movimentação de veículos ao lado dos alojamentos contribuíam para a falta de condições adequadas de conservação, asseio e higiene; (d) os colchões estavam em mau estado de conservação, assim como a fiação elétrica improvisada e aparente, exponha os trabalhadores a riscos de choques elétricos; (e) não havia local para guarda de objetos pessoais, que ficavam dispostos sobre as camas ou dependurados nas paredes; (f) os mantimentos dos trabalhadores eram acondicionados no quarto; (g) havia somente um banheiro em construção, compartilhado entre os sete trabalhadores do sexo masculino e a trabalhadora Vanilsa Aparecida Silva Pessoa.",DOS_FATOS,##ils,PESSOA,1414.0,1417.0,0.999
21,"Destacou a fiscalização que (a) o alojamento trata-se de uma construção rústica, de tijolo de barro não rebocado, com aproximadamente 50 m2 com piso de cimento simples e construído predominantemente por placas de concreto do tipo muro, com telhado do tipo Eternit; (b) não havia laje ou forro, e os vãos existentes entre as estruturas verticais e horizontais não vedavam adequadamente o interior do alojamento, o que contribuía para a entrada de todo tipo de sujidades, folhas, insetos e animais, dificultando ainda mais a conservação das condições de asseio e higiene; (c) a ausência uma edificação adequada, tanto com relação às paredes quanto aos telhados, fazia com que a poeira, água da chuva, sereno e os ventos, que facilmente carregam partículas sólidas em área de carvoejamento ou em decorrência da movimentação de veículos ao lado dos alojamentos contribuíam para a falta de condições adequadas de conservação, asseio e higiene; (d) os colchões estavam em mau estado de conservação, assim como a fiação elétrica improvisada e aparente, exponha os trabalhadores a riscos de choques elétricos; (e) não havia local para guarda de objetos pessoais, que ficavam dispostos sobre as camas ou dependurados nas paredes; (f) os mantimentos dos trabalhadores eram acondicionados no quarto; (g) havia somente um banheiro em construção, compartilhado entre os sete trabalhadores do sexo masculino e a trabalhadora Vanilsa Aparecida Silva Pessoa.",DOS_FATOS,##a Aparecida Silva Pessoa,PESSOA,1417.0,1441.0,0.9991
22,"Todavia, este banheiro não possuía as mínimas condições de uso; (h) não havia vaso sanitário instalado, e as necessidades fisiológicas dos trabalhadores eram satisfeitas na mata, em área contígua aos alojamentos; (i) não havia chuveiro ou energia elétrica no banheiro, e os trabalhadores se banhavam fazendo o uso de baldes e canecas, aquecendo a água previamente na área externa; (j) os trabalhadores faziam três refeições no local de trabalho: café da manhã, almoço e jantar; (k) no café da manhã tinham a disposição apenas café preto, eventualmente eram fornecidos pão e bolacha; (l) no almoço e jantar normalmente era composto por arroz, feijão, macarrão e ovo, raramente era fornecido algum tipo de carne; ( m ) não havia fornecimento de água potável para os trabalhadores em atividade, a qual era captada em um curso d’água nas proximidades do alojamento com o uso de uma bomba d’água e depositada em uma caixa d’água que estava semiaberta no momento da inspeção; (n) o empregador não forneceu os necessários equipamentos de proteção individual (luva, perneira, botina/bota), sendo que alguns laboravam equipamentos em péssimas condições, adquiridos pelos próprios trabalhadores;",DOS_FATOS,,,,,
